date,bank,rate,value
2004-10-01,commercial,fdr_1mo,3.0
2004-10-01,investment,fdr_6mo,2.79
2004-10-01,commercial,fdr_3mo,3.0
2004-10-01,commercial,fdr_6mo,3.0
2004-10-01,commercial,alr,6.01
2004-10-01,investment,fdr_9mo,2.85
2004-10-01,investment,alr,6.5
2004-10-01,commercial,sr,1.6400000000000001
2004-10-01,commercial,blr,5.98
2004-11-01,investment,fdr_6mo,2.81
2004-11-01,commercial,alr,5.99
2004-11-01,commercial,fdr_3mo,3.0
2004-11-01,commercial,sr,1.59
2004-11-01,commercial,fdr_6mo,3.0
2004-11-01,commercial,walr,6.2949704778391515
2004-11-01,commercial,fdr_9mo,3.0
2004-11-01,investment,fdr_3mo,2.7800000000000002
2004-11-01,commercial,fdr_12mo,3.7
2004-11-01,investment,alr,6.42
2004-11-01,investment,fdr_12mo,3.0
2004-11-01,investment,fdr_9mo,2.82
2004-11-01,commercial,blr,5.98
2004-11-01,commercial,fdr_1mo,3.0
2004-11-01,investment,fdr_1mo,2.73
2004-12-01,investment,fdr_9mo,2.81
2004-12-01,commercial,fdr_9mo,3.0
2004-12-01,commercial,alr,5.98
2004-12-01,commercial,fdr_6mo,3.0
2004-12-01,investment,alr,6.390000000000001
2004-12-01,commercial,blr,5.98
2004-12-01,commercial,sr,1.58
2004-12-01,investment,fdr_12mo,2.7
2004-12-01,commercial,walr,6.285409146835283
2004-12-01,commercial,fdr_1mo,3.0
2004-12-01,investment,fdr_3mo,2.7600000000000002
2004-12-01,commercial,fdr_12mo,3.7
2004-12-01,investment,fdr_6mo,2.81
2004-12-01,investment,fdr_1mo,2.73
2004-12-01,commercial,fdr_3mo,3.0
2005-01-01,commercial,fdr_9mo,3.0
2005-01-01,commercial,fdr_12mo,3.7
2005-01-01,investment,fdr_3mo,2.75
2005-01-01,investment,fdr_6mo,2.79
2005-01-01,commercial,fdr_6mo,3.0
2005-01-01,investment,fdr_9mo,2.83
2005-01-01,commercial,alr,5.98
2005-01-01,commercial,walr,6.294680629150156
2005-01-01,commercial,fdr_1mo,3.0
2005-01-01,commercial,sr,1.6
2005-01-01,investment,alr,6.37
2005-01-01,investment,fdr_12mo,2.9
2005-01-01,commercial,fdr_3mo,3.0
2005-01-01,commercial,blr,5.98
2005-01-01,investment,fdr_1mo,2.74
2005-02-01,commercial,fdr_9mo,3.0
2005-02-01,investment,fdr_1mo,2.72
2005-02-01,commercial,fdr_1mo,3.0
2005-02-01,commercial,blr,5.98
2005-02-01,investment,fdr_6mo,2.79
2005-02-01,commercial,walr,6.270984232990842
2005-02-01,investment,alr,6.42
2005-02-01,commercial,fdr_12mo,3.7
2005-02-01,commercial,fdr_3mo,3.0
2005-02-01,commercial,sr,1.55
2005-02-01,investment,fdr_12mo,2.9
2005-02-01,investment,fdr_3mo,2.75
2005-02-01,commercial,alr,5.95
2005-02-01,commercial,fdr_6mo,3.0
2005-02-01,investment,fdr_9mo,2.81
2005-03-01,commercial,alr,5.9
2005-03-01,investment,fdr_9mo,2.8000000000000003
2005-03-01,commercial,fdr_1mo,3.0
2005-03-01,commercial,fdr_6mo,3.0
2005-03-01,investment,fdr_1mo,2.73
2005-03-01,investment,fdr_12mo,2.9
2005-03-01,commercial,fdr_9mo,3.0
2005-03-01,commercial,blr,5.98
2005-03-01,commercial,walr,6.253430054557722
2005-03-01,investment,fdr_6mo,2.7800000000000002
2005-03-01,commercial,sr,1.51
2005-03-01,investment,fdr_3mo,2.74
2005-03-01,investment,alr,6.390000000000001
2005-03-01,commercial,fdr_3mo,3.0
2005-03-01,commercial,fdr_12mo,3.7
2005-04-01,commercial,fdr_12mo,3.7
2005-04-01,commercial,fdr_6mo,3.0
2005-04-01,investment,alr,6.38
2005-04-01,investment,fdr_6mo,2.8000000000000003
2005-04-01,commercial,fdr_3mo,3.0
2005-04-01,investment,fdr_3mo,2.74
2005-04-01,commercial,sr,1.5
2005-04-01,investment,fdr_9mo,2.7800000000000002
2005-04-01,commercial,blr,5.98
2005-04-01,commercial,walr,6.260877635344159
2005-04-01,commercial,alr,5.97
2005-04-01,commercial,fdr_1mo,3.0
2005-04-01,investment,fdr_1mo,2.7
2005-04-01,investment,fdr_12mo,2.93
2005-04-01,commercial,fdr_9mo,3.0
2005-05-01,investment,fdr_3mo,2.73
2005-05-01,investment,fdr_6mo,2.7600000000000002
2005-05-01,commercial,sr,1.5
2005-05-01,commercial,walr,6.235902962125372
2005-05-01,commercial,fdr_1mo,3.0
2005-05-01,commercial,alr,5.94
2005-05-01,commercial,fdr_3mo,3.0
2005-05-01,investment,fdr_9mo,2.7800000000000002
2005-05-01,investment,fdr_12mo,2.88
2005-05-01,commercial,fdr_6mo,3.0
2005-05-01,investment,fdr_1mo,2.71
2005-05-01,commercial,fdr_9mo,3.0
2005-05-01,commercial,blr,5.98
2005-05-01,investment,alr,6.41
2005-05-01,commercial,fdr_12mo,3.7
2005-06-01,commercial,sr,1.45
2005-06-01,commercial,fdr_12mo,3.7
2005-06-01,commercial,walr,6.315538643241215
2005-06-01,commercial,alr,5.9
2005-06-01,commercial,fdr_1mo,3.0
2005-06-01,investment,fdr_3mo,2.73
2005-06-01,investment,fdr_12mo,2.88
2005-06-01,commercial,fdr_3mo,3.0
2005-06-01,investment,fdr_9mo,2.7600000000000002
2005-06-01,investment,fdr_1mo,2.72
2005-06-01,commercial,fdr_9mo,3.0
2005-06-01,investment,fdr_6mo,2.79
2005-06-01,investment,alr,6.44
2005-06-01,commercial,blr,5.98
2005-06-01,commercial,fdr_6mo,3.0
2005-07-01,investment,fdr_1mo,2.71
2005-07-01,commercial,walr,6.283152808844379
2005-07-01,commercial,sr,1.44
2005-07-01,commercial,fdr_12mo,3.7
2005-07-01,investment,alr,6.44
2005-07-01,commercial,blr,5.98
2005-07-01,investment,fdr_3mo,2.74
2005-07-01,commercial,fdr_6mo,3.0
2005-07-01,commercial,fdr_1mo,3.0
2005-07-01,investment,fdr_12mo,2.9
2005-07-01,commercial,alr,5.9
2005-07-01,commercial,fdr_9mo,3.0
2005-07-01,investment,fdr_9mo,2.75
2005-07-01,investment,fdr_6mo,2.7800000000000002
2005-07-01,commercial,fdr_3mo,3.0
2005-08-01,commercial,alr,5.91
2005-08-01,commercial,fdr_12mo,3.7
2005-08-01,commercial,sr,1.46
2005-08-01,commercial,walr,6.260664794444499
2005-08-01,investment,fdr_6mo,2.79
2005-08-01,investment,fdr_1mo,2.71
2005-08-01,commercial,fdr_3mo,3.0
2005-08-01,investment,alr,6.33
2005-08-01,commercial,blr,5.98
2005-08-01,commercial,fdr_6mo,3.0
2005-08-01,commercial,fdr_1mo,3.0
2005-08-01,investment,fdr_9mo,2.75
2005-08-01,investment,fdr_12mo,2.9
2005-08-01,commercial,fdr_9mo,3.0
2005-08-01,investment,fdr_3mo,2.73
2005-09-01,investment,fdr_9mo,2.75
2005-09-01,commercial,walr,6.232990763197881
2005-09-01,commercial,fdr_1mo,3.0
2005-09-01,investment,fdr_6mo,2.74
2005-09-01,investment,fdr_12mo,2.89
2005-09-01,investment,fdr_3mo,2.74
2005-09-01,commercial,fdr_9mo,3.0
2005-09-01,investment,fdr_1mo,2.72
2005-09-01,commercial,blr,5.98
2005-09-01,commercial,fdr_12mo,3.7
2005-09-01,investment,alr,6.3100000000000005
2005-09-01,commercial,fdr_3mo,3.0
2005-09-01,commercial,alr,5.9
2005-09-01,commercial,sr,1.42
2005-09-01,commercial,fdr_6mo,3.0
2005-10-01,commercial,fdr_1mo,3.0
2005-10-01,commercial,alr,5.95
2005-10-01,investment,fdr_3mo,2.74
2005-10-01,commercial,fdr_9mo,3.0
2005-10-01,investment,fdr_12mo,3.0
2005-10-01,commercial,fdr_6mo,3.0
2005-10-01,commercial,blr,5.98
2005-10-01,investment,fdr_1mo,2.72
2005-10-01,commercial,sr,1.4000000000000001
2005-10-01,commercial,fdr_3mo,3.0
2005-10-01,investment,fdr_6mo,2.75
2005-10-01,investment,fdr_9mo,2.75
2005-10-01,investment,alr,6.3100000000000005
2005-10-01,commercial,fdr_12mo,3.7
2005-10-01,commercial,walr,6.241444978515996
2005-11-01,commercial,fdr_1mo,3.0
2005-11-01,commercial,walr,6.254820689786351
2005-11-01,commercial,alr,5.98
2005-11-01,investment,fdr_3mo,2.7800000000000002
2005-11-01,investment,fdr_12mo,2.9
2005-11-01,commercial,fdr_9mo,3.0
2005-11-01,commercial,fdr_6mo,3.0
2005-11-01,commercial,fdr_3mo,3.0
2005-11-01,commercial,blr,5.98
2005-11-01,investment,fdr_1mo,2.75
2005-11-01,commercial,sr,1.3900000000000001
2005-11-01,investment,fdr_6mo,2.81
2005-11-01,investment,alr,6.33
2005-11-01,investment,fdr_9mo,2.75
2005-11-01,commercial,fdr_12mo,3.7
2005-12-01,commercial,walr,6.368677686373828
2005-12-01,commercial,fdr_1mo,3.0100000000000002
2005-12-01,commercial,alr,6.12
2005-12-01,investment,fdr_6mo,2.87
2005-12-01,investment,fdr_3mo,2.98
2005-12-01,commercial,fdr_9mo,3.08
2005-12-01,investment,fdr_12mo,3.41
2005-12-01,commercial,fdr_6mo,3.04
2005-12-01,commercial,fdr_3mo,3.02
2005-12-01,commercial,blr,6.2
2005-12-01,investment,fdr_1mo,2.93
2005-12-01,commercial,sr,1.41
2005-12-01,commercial,fdr_12mo,3.7
2005-12-01,investment,alr,6.46
2005-12-01,investment,fdr_9mo,2.88
2006-01-01,commercial,fdr_12mo,3.7
2006-01-01,investment,fdr_9mo,2.75
2006-01-01,commercial,walr,6.4192710836420765
2006-01-01,investment,alr,6.6000000000000005
2006-01-01,commercial,alr,6.15
2006-01-01,commercial,fdr_1mo,3.0100000000000002
2006-01-01,investment,fdr_6mo,3.02
2006-01-01,investment,fdr_3mo,3.04
2006-01-01,commercial,fdr_9mo,3.09
2006-01-01,investment,fdr_12mo,3.0500000000000003
2006-01-01,commercial,fdr_6mo,3.0500000000000003
2006-01-01,commercial,blr,6.21
2006-01-01,commercial,fdr_3mo,3.0300000000000002
2006-01-01,investment,fdr_1mo,2.89
2006-01-01,commercial,sr,1.42
2006-02-01,commercial,fdr_12mo,3.7
2006-02-01,investment,fdr_9mo,2.75
2006-02-01,commercial,alr,6.29
2006-02-01,investment,alr,6.67
2006-02-01,investment,fdr_6mo,3.0
2006-02-01,commercial,fdr_1mo,3.02
2006-02-01,commercial,walr,6.5536192213733235
2006-02-01,commercial,fdr_9mo,3.11
2006-02-01,investment,fdr_3mo,3.02
2006-02-01,commercial,sr,1.43
2006-02-01,commercial,blr,6.34
2006-02-01,investment,fdr_1mo,3.12
2006-02-01,commercial,fdr_6mo,3.0700000000000003
2006-02-01,commercial,fdr_3mo,3.04
2006-02-01,investment,fdr_12mo,3.42
2006-03-01,commercial,fdr_12mo,3.7
2006-03-01,investment,fdr_9mo,0.0
2006-03-01,commercial,alr,6.29
2006-03-01,investment,alr,6.74
2006-03-01,commercial,walr,6.544973550260087
2006-03-01,investment,fdr_6mo,3.13
2006-03-01,commercial,fdr_1mo,3.0300000000000002
2006-03-01,investment,fdr_12mo,3.64
2006-03-01,investment,fdr_3mo,3.17
2006-03-01,commercial,fdr_9mo,3.16
2006-03-01,commercial,sr,1.44
2006-03-01,commercial,blr,6.47
2006-03-01,investment,fdr_1mo,3.11
2006-03-01,commercial,fdr_3mo,3.06
2006-03-01,commercial,fdr_6mo,3.11
2006-04-01,commercial,fdr_3mo,3.12
2006-04-01,investment,fdr_1mo,3.2600000000000002
2006-04-01,investment,alr,6.83
2006-04-01,commercial,fdr_12mo,3.73
2006-04-01,commercial,alr,6.42
2006-04-01,commercial,walr,6.700462626421716
2006-04-01,commercial,fdr_1mo,3.06
2006-04-01,investment,fdr_6mo,3.0100000000000002
2006-04-01,investment,fdr_12mo,3.72
2006-04-01,commercial,fdr_9mo,3.31
2006-04-01,investment,fdr_3mo,3.34
2006-04-01,commercial,fdr_6mo,3.21
2006-04-01,commercial,sr,1.46
2006-04-01,commercial,blr,6.58
2006-04-01,investment,fdr_9mo,0.0
2006-05-01,commercial,fdr_6mo,3.31
2006-05-01,commercial,fdr_3mo,3.17
2006-05-01,investment,fdr_1mo,3.43
2006-05-01,commercial,fdr_12mo,3.7600000000000002
2006-05-01,commercial,alr,6.51
2006-05-01,investment,alr,6.99
2006-05-01,investment,fdr_6mo,3.17
2006-05-01,commercial,walr,6.739870624009955
2006-05-01,commercial,fdr_1mo,3.11
2006-05-01,investment,fdr_9mo,0.0
2006-05-01,investment,fdr_3mo,3.5100000000000002
2006-05-01,investment,fdr_12mo,3.85
2006-05-01,commercial,fdr_9mo,3.44
2006-05-01,commercial,sr,1.47
2006-05-01,commercial,blr,6.72
2006-06-01,commercial,fdr_6mo,3.3200000000000003
2006-06-01,commercial,fdr_3mo,3.18
2006-06-01,investment,fdr_1mo,3.37
2006-06-01,investment,alr,7.34
2006-06-01,commercial,walr,6.765625580545309
2006-06-01,commercial,fdr_12mo,3.77
2006-06-01,commercial,alr,6.59
2006-06-01,commercial,fdr_1mo,3.11
2006-06-01,investment,fdr_9mo,0.0
2006-06-01,investment,fdr_6mo,3.17
2006-06-01,investment,fdr_12mo,3.95
2006-06-01,investment,fdr_3mo,3.44
2006-06-01,commercial,fdr_9mo,3.45
2006-06-01,commercial,sr,1.47
2006-06-01,commercial,blr,6.72
2006-07-01,commercial,alr,6.65
2006-07-01,commercial,fdr_6mo,3.34
2006-07-01,investment,alr,7.4
2006-07-01,investment,fdr_9mo,0.0
2006-07-01,commercial,walr,6.771233396245894
2006-07-01,investment,fdr_3mo,3.62
2006-07-01,commercial,fdr_12mo,3.7800000000000002
2006-07-01,investment,fdr_1mo,3.5500000000000003
2006-07-01,commercial,blr,6.72
2006-07-01,commercial,fdr_1mo,3.12
2006-07-01,commercial,fdr_9mo,3.48
2006-07-01,investment,fdr_12mo,4.0
2006-07-01,commercial,sr,1.46
2006-07-01,investment,fdr_6mo,3.36
2006-07-01,commercial,fdr_3mo,3.19
2006-08-01,commercial,fdr_6mo,3.34
2006-08-01,investment,fdr_12mo,3.99
2006-08-01,commercial,fdr_9mo,3.48
2006-08-01,commercial,fdr_3mo,3.19
2006-08-01,commercial,alr,6.67
2006-08-01,commercial,fdr_1mo,3.12
2006-08-01,commercial,blr,6.72
2006-08-01,investment,fdr_6mo,3.59
2006-08-01,investment,alr,7.3500000000000005
2006-08-01,commercial,sr,1.46
2006-08-01,commercial,fdr_12mo,3.77
2006-08-01,commercial,walr,6.793038364913592
2006-08-01,investment,fdr_3mo,3.6
2006-08-01,investment,fdr_9mo,0.0
2006-08-01,investment,fdr_1mo,3.5100000000000002
2006-09-01,investment,alr,7.32
2006-09-01,commercial,alr,6.63
2006-09-01,investment,fdr_6mo,3.17
2006-09-01,commercial,fdr_3mo,3.21
2006-09-01,commercial,fdr_1mo,3.13
2006-09-01,investment,fdr_12mo,3.94
2006-09-01,commercial,fdr_12mo,3.77
2006-09-01,investment,fdr_1mo,3.52
2006-09-01,commercial,fdr_6mo,3.36
2006-09-01,commercial,fdr_9mo,3.49
2006-09-01,investment,fdr_9mo,0.0
2006-09-01,commercial,sr,1.46
2006-09-01,commercial,blr,6.72
2006-09-01,commercial,walr,6.826841209402626
2006-09-01,investment,fdr_3mo,3.64
2006-10-01,commercial,fdr_1mo,3.13
2006-10-01,investment,alr,7.08
2006-10-01,investment,fdr_6mo,3.54
2006-10-01,investment,fdr_12mo,3.85
2006-10-01,commercial,fdr_12mo,3.7600000000000002
2006-10-01,commercial,fdr_3mo,3.21
2006-10-01,commercial,alr,6.59
2006-10-01,commercial,fdr_9mo,3.49
2006-10-01,commercial,fdr_6mo,3.36
2006-10-01,investment,fdr_9mo,3.7
2006-10-01,investment,fdr_3mo,3.64
2006-10-01,investment,fdr_1mo,3.54
2006-10-01,commercial,blr,6.72
2006-10-01,commercial,walr,6.814376759353849
2006-10-01,commercial,sr,1.46
2006-11-01,commercial,fdr_1mo,3.11
2006-11-01,commercial,alr,6.59
2006-11-01,investment,alr,7.08
2006-11-01,investment,fdr_6mo,3.5500000000000003
2006-11-01,commercial,walr,6.845355470330046
2006-11-01,commercial,blr,6.72
2006-11-01,commercial,fdr_9mo,3.47
2006-11-01,investment,fdr_1mo,3.45
2006-11-01,investment,fdr_9mo,3.7
2006-11-01,investment,fdr_3mo,3.56
2006-11-01,investment,fdr_12mo,3.89
2006-11-01,commercial,fdr_12mo,3.75
2006-11-01,commercial,fdr_3mo,3.2
2006-11-01,commercial,fdr_6mo,3.35
2006-11-01,commercial,sr,1.48
2006-12-01,investment,fdr_3mo,3.5500000000000003
2006-12-01,commercial,fdr_6mo,3.34
2006-12-01,commercial,sr,1.48
2006-12-01,investment,fdr_12mo,3.69
2006-12-01,commercial,fdr_3mo,3.19
2006-12-01,commercial,alr,6.57
2006-12-01,investment,fdr_6mo,3.5100000000000002
2006-12-01,commercial,fdr_1mo,3.11
2006-12-01,commercial,fdr_9mo,3.46
2006-12-01,commercial,fdr_12mo,3.73
2006-12-01,commercial,walr,6.838761
2006-12-01,investment,fdr_1mo,3.47
2006-12-01,investment,fdr_9mo,3.65
2006-12-01,investment,alr,6.87
2006-12-01,commercial,blr,6.72
2007-01-01,commercial,fdr_6mo,3.34
2007-01-01,investment,fdr_9mo,3.7
2007-01-01,investment,fdr_12mo,3.62
2007-01-01,commercial,fdr_9mo,3.45
2007-01-01,commercial,fdr_12mo,3.72
2007-01-01,commercial,sr,1.46
2007-01-01,commercial,blr,6.72
2007-01-01,investment,fdr_6mo,3.34
2007-01-01,commercial,fdr_3mo,3.19
2007-01-01,commercial,alr,6.57
2007-01-01,investment,fdr_3mo,3.54
2007-01-01,investment,fdr_1mo,3.47
2007-01-01,commercial,fdr_1mo,3.11
2007-01-01,investment,alr,6.94
2007-01-01,commercial,walr,6.84
2007-02-01,investment,fdr_3mo,3.54
2007-02-01,commercial,fdr_1mo,3.11
2007-02-01,investment,alr,6.96
2007-02-01,commercial,alr,6.54
2007-02-01,commercial,walr,6.86
2007-02-01,investment,fdr_1mo,3.5100000000000002
2007-02-01,commercial,blr,6.72
2007-02-01,commercial,fdr_3mo,3.19
2007-02-01,commercial,fdr_9mo,3.45
2007-02-01,investment,fdr_9mo,3.7
2007-02-01,commercial,fdr_12mo,3.71
2007-02-01,commercial,sr,1.44
2007-02-01,investment,fdr_12mo,3.65
2007-02-01,investment,fdr_6mo,3.5100000000000002
2007-02-01,commercial,fdr_6mo,3.34
2007-03-01,commercial,fdr_1mo,3.1
2007-03-01,investment,fdr_1mo,3.7
2007-03-01,investment,fdr_9mo,3.67
2007-03-01,commercial,fdr_6mo,3.34
2007-03-01,commercial,alr,6.54
2007-03-01,investment,alr,6.83
2007-03-01,commercial,sr,1.43
2007-03-01,commercial,walr,6.8
2007-03-01,investment,fdr_12mo,3.69
2007-03-01,commercial,fdr_3mo,3.18
2007-03-01,investment,fdr_6mo,3.47
2007-03-01,commercial,fdr_9mo,3.45
2007-03-01,commercial,blr,6.72
2007-03-01,investment,fdr_3mo,3.54
2007-03-01,commercial,fdr_12mo,3.71
2007-04-01,commercial,fdr_1mo,3.1
2007-04-01,investment,fdr_1mo,3.62
2007-04-01,commercial,fdr_6mo,3.33
2007-04-01,investment,fdr_6mo,3.52
2007-04-01,commercial,alr,6.44
2007-04-01,investment,alr,6.7
2007-04-01,commercial,sr,1.44
2007-04-01,commercial,fdr_3mo,3.18
2007-04-01,commercial,walr,6.8
2007-04-01,investment,fdr_9mo,3.63
2007-04-01,investment,fdr_12mo,3.66
2007-04-01,commercial,fdr_9mo,3.43
2007-04-01,commercial,blr,6.72
2007-04-01,investment,fdr_3mo,3.5100000000000002
2007-04-01,commercial,fdr_12mo,3.71
2007-05-01,investment,fdr_3mo,3.49
2007-05-01,commercial,fdr_12mo,3.71
2007-05-01,commercial,fdr_1mo,3.1
2007-05-01,investment,fdr_1mo,3.47
2007-05-01,investment,fdr_9mo,3.58
2007-05-01,commercial,fdr_6mo,3.3200000000000003
2007-05-01,commercial,sr,1.44
2007-05-01,commercial,alr,6.44
2007-05-01,investment,alr,6.79
2007-05-01,investment,fdr_6mo,3.49
2007-05-01,commercial,fdr_3mo,3.18
2007-05-01,commercial,walr,6.78
2007-05-01,commercial,fdr_9mo,3.42
2007-05-01,investment,fdr_12mo,3.62
2007-05-01,commercial,blr,6.72
2007-06-01,investment,fdr_12mo,3.6
2007-06-01,commercial,fdr_12mo,3.71
2007-06-01,investment,fdr_3mo,3.48
2007-06-01,commercial,fdr_1mo,3.09
2007-06-01,investment,fdr_9mo,3.56
2007-06-01,investment,fdr_1mo,3.44
2007-06-01,commercial,fdr_6mo,3.3200000000000003
2007-06-01,commercial,walr,6.78
2007-06-01,commercial,sr,1.44
2007-06-01,commercial,alr,6.49
2007-06-01,investment,alr,6.8100000000000005
2007-06-01,investment,fdr_6mo,3.47
2007-06-01,commercial,fdr_3mo,3.17
2007-06-01,commercial,fdr_9mo,3.42
2007-06-01,commercial,blr,6.72
2007-07-01,commercial,blr,6.72
2007-07-01,investment,fdr_12mo,3.6
2007-07-01,commercial,fdr_12mo,3.7
2007-07-01,investment,fdr_3mo,3.49
2007-07-01,commercial,fdr_9mo,3.38
2007-07-01,commercial,fdr_1mo,3.08
2007-07-01,investment,fdr_1mo,3.42
2007-07-01,investment,fdr_9mo,3.56
2007-07-01,commercial,fdr_6mo,3.29
2007-07-01,commercial,alr,6.34
2007-07-01,commercial,walr,6.66
2007-07-01,commercial,sr,1.44
2007-07-01,investment,alr,6.83
2007-07-01,investment,fdr_6mo,3.46
2007-07-01,commercial,fdr_3mo,3.15
2007-08-01,commercial,blr,6.72
2007-08-01,investment,fdr_12mo,3.6
2007-08-01,investment,fdr_3mo,3.49
2007-08-01,commercial,fdr_9mo,3.38
2007-08-01,commercial,fdr_12mo,3.7
2007-08-01,commercial,fdr_1mo,3.08
2007-08-01,commercial,walr,6.65
2007-08-01,commercial,fdr_6mo,3.29
2007-08-01,investment,fdr_9mo,3.56
2007-08-01,investment,fdr_1mo,3.44
2007-08-01,commercial,sr,1.44
2007-08-01,commercial,alr,6.3500000000000005
2007-08-01,investment,alr,6.87
2007-08-01,investment,fdr_6mo,3.48
2007-08-01,commercial,fdr_3mo,3.15
2007-09-01,commercial,fdr_3mo,3.15
2007-09-01,investment,fdr_6mo,3.47
2007-09-01,commercial,blr,6.72
2007-09-01,investment,fdr_3mo,3.5
2007-09-01,commercial,fdr_9mo,3.38
2007-09-01,investment,fdr_12mo,3.61
2007-09-01,commercial,fdr_12mo,3.7
2007-09-01,commercial,fdr_1mo,3.08
2007-09-01,commercial,fdr_6mo,3.29
2007-09-01,commercial,walr,6.61
2007-09-01,investment,fdr_1mo,3.43
2007-09-01,investment,fdr_9mo,3.56
2007-09-01,commercial,sr,1.43
2007-09-01,commercial,alr,6.3
2007-09-01,investment,alr,6.87
2007-10-01,commercial,fdr_3mo,3.15
2007-10-01,commercial,blr,6.72
2007-10-01,investment,fdr_3mo,3.49
2007-10-01,investment,fdr_12mo,3.59
2007-10-01,commercial,fdr_9mo,3.38
2007-10-01,commercial,walr,6.59
2007-10-01,commercial,fdr_12mo,3.7
2007-10-01,commercial,fdr_1mo,3.08
2007-10-01,investment,fdr_1mo,3.43
2007-10-01,investment,fdr_9mo,3.56
2007-10-01,investment,fdr_6mo,3.47
2007-10-01,commercial,fdr_6mo,3.29
2007-10-01,commercial,sr,1.43
2007-10-01,commercial,alr,6.26
2007-10-01,investment,alr,6.86
2007-11-01,investment,alr,6.890000000000001
2007-11-01,investment,fdr_6mo,3.47
2007-11-01,commercial,fdr_9mo,3.38
2007-11-01,investment,fdr_3mo,3.48
2007-11-01,commercial,alr,6.3100000000000005
2007-11-01,investment,fdr_12mo,3.62
2007-11-01,commercial,blr,6.72
2007-11-01,commercial,walr,6.62
2007-11-01,commercial,fdr_3mo,3.15
2007-11-01,commercial,fdr_12mo,3.7
2007-11-01,investment,fdr_1mo,3.44
2007-11-01,commercial,fdr_1mo,3.08
2007-11-01,commercial,fdr_6mo,3.29
2007-11-01,commercial,sr,1.43
2007-11-01,investment,fdr_9mo,3.56
2007-12-01,commercial,fdr_6mo,3.29
2007-12-01,commercial,blr,6.72
2007-12-01,commercial,fdr_12mo,3.7
2007-12-01,investment,fdr_9mo,3.5700000000000003
2007-12-01,commercial,sr,1.44
2007-12-01,commercial,walr,6.69
2007-12-01,investment,fdr_3mo,3.48
2007-12-01,investment,fdr_6mo,3.39
2007-12-01,commercial,fdr_3mo,3.15
2007-12-01,commercial,fdr_1mo,3.08
2007-12-01,investment,alr,6.83
2007-12-01,commercial,fdr_9mo,3.38
2007-12-01,investment,fdr_1mo,3.43
2007-12-01,commercial,alr,6.29
2007-12-01,investment,fdr_12mo,3.61
2008-01-01,commercial,walr,6.67
2008-01-01,commercial,alr,6.2700000000000005
2008-01-01,commercial,fdr_6mo,3.29
2008-01-01,investment,fdr_9mo,3.58
2008-01-01,investment,alr,6.7
2008-01-01,investment,fdr_12mo,3.6
2008-01-01,commercial,fdr_9mo,3.38
2008-01-01,commercial,fdr_3mo,3.15
2008-01-01,investment,fdr_6mo,3.46
2008-01-01,investment,fdr_1mo,3.46
2008-01-01,commercial,fdr_12mo,3.7
2008-01-01,commercial,sr,1.43
2008-01-01,investment,fdr_3mo,3.54
2008-01-01,commercial,fdr_1mo,3.08
2008-01-01,commercial,blr,6.72
2008-02-01,investment,fdr_9mo,3.5700000000000003
2008-02-01,investment,fdr_6mo,3.48
2008-02-01,commercial,fdr_1mo,3.08
2008-02-01,commercial,fdr_12mo,3.7
2008-02-01,investment,fdr_3mo,3.52
2008-02-01,commercial,fdr_9mo,3.37
2008-02-01,investment,fdr_12mo,3.58
2008-02-01,commercial,alr,6.2700000000000005
2008-02-01,investment,fdr_1mo,3.46
2008-02-01,commercial,sr,1.44
2008-02-01,commercial,walr,6.65
2008-02-01,commercial,fdr_6mo,3.2800000000000002
2008-02-01,commercial,fdr_3mo,3.14
2008-02-01,commercial,blr,6.72
2008-02-01,investment,alr,6.8100000000000005
2008-03-01,investment,fdr_6mo,3.37
2008-03-01,commercial,blr,6.72
2008-03-01,investment,fdr_12mo,3.59
2008-03-01,investment,fdr_9mo,3.5700000000000003
2008-03-01,investment,fdr_1mo,3.45
2008-03-01,commercial,fdr_6mo,3.2800000000000002
2008-03-01,commercial,sr,1.43
2008-03-01,commercial,walr,6.62
2008-03-01,investment,alr,6.890000000000001
2008-03-01,commercial,alr,6.21
2008-03-01,commercial,fdr_3mo,3.14
2008-03-01,commercial,fdr_12mo,3.7
2008-03-01,investment,fdr_3mo,3.5100000000000002
2008-03-01,commercial,fdr_1mo,3.08
2008-03-01,commercial,fdr_9mo,3.37
2008-04-01,commercial,walr,6.6
2008-04-01,investment,fdr_3mo,3.5
2008-04-01,investment,alr,7.1000000000000005
2008-04-01,investment,fdr_9mo,3.56
2008-04-01,commercial,fdr_6mo,3.2800000000000002
2008-04-01,commercial,fdr_3mo,3.14
2008-04-01,commercial,fdr_9mo,3.37
2008-04-01,commercial,fdr_1mo,3.08
2008-04-01,investment,fdr_12mo,3.59
2008-04-01,investment,fdr_1mo,3.47
2008-04-01,commercial,blr,6.72
2008-04-01,investment,fdr_6mo,3.48
2008-04-01,commercial,sr,1.42
2008-04-01,commercial,fdr_12mo,3.7
2008-04-01,commercial,alr,6.19
2008-05-01,investment,fdr_3mo,3.5
2008-05-01,commercial,fdr_6mo,3.2800000000000002
2008-05-01,commercial,sr,1.42
2008-05-01,investment,fdr_12mo,3.61
2008-05-01,commercial,fdr_1mo,3.08
2008-05-01,investment,fdr_6mo,3.5300000000000002
2008-05-01,commercial,blr,6.72
2008-05-01,commercial,alr,6.13
2008-05-01,commercial,fdr_12mo,3.7
